State,Month,Year,Min_Temp,Max_Temp,Humidity,Rainfall
Andaman and Nicobar,1,2019,27.04,28.1,75.55645161290323,1.0258064516129033
Andaman and Nicobar,1,2020,25.8,28.2,73.99483870967742,0.24
Andaman and Nicobar,1,2021,26.83,28.37,73.2125806451613,0.5212903225806451
Andaman and Nicobar,1,2022,26.34,28.19,72.75516129032258,0.5293548387096775
Andaman and Nicobar,1,2023,26.04,27.83,73.42096774193548,0.6048387096774194
Andaman and Nicobar,1,2024,26.86,28.44,74.72451612903225,0.8580645161290323
Andaman and Nicobar,1,2025,26.26,28.04,74.47774193548386,1.2316129032258065
Andaman and Nicobar,2,2019,27.52,28.64,71.72214285714286,0.07285714285714286
Andaman and Nicobar,2,2020,26.63,28.33,69.64344827586207,0.1920689655172414
Andaman and Nicobar,2,2021,27.01,28.31,70.96642857142857,0.6482142857142856
Andaman and Nicobar,2,2022,25.99,28.7,74.36642857142859,2.0942857142857143
Andaman and Nicobar,2,2023,26.37,28.26,72.225,0.22892857142857143
Andaman and Nicobar,2,2024,27.38,29.28,70.03586206896551,0.04275862068965517
Andaman and Nicobar,3,2019,27.11,29.83,68.28709677419356,0.3574193548387097
Andaman and Nicobar,3,2020,26.91,29.43,69.05064516129033,0.15354838709677418
Andaman and Nicobar,3,2021,27.44,30.07,68.75967741935484,0.9551612903225807
Andaman and Nicobar,3,2022,27.29,30.03,71.69032258064516,2.547741935483871
Andaman and Nicobar,3,2023,27.94,29.74,71.32612903225807,0.23161290322580644
Andaman and Nicobar,3,2024,27.85,30.59,66.24774193548386,0.02709677419354839
Andaman and Nicobar,4,2019,28.93,31.23,69.32,1.6106666666666667
Andaman and Nicobar,4,2020,28.51,30.23,70.17966666666666,1.0496666666666667
Andaman and Nicobar,4,2021,27.59,29.83,71.70833333333333,1.8173333333333332
Andaman and Nicobar,4,2022,28.12,31.01,71.28233333333333,1.4546666666666668
Andaman and Nicobar,4,2023,28.62,30.75,70.83500000000001,0.14566666666666667
Andaman and Nicobar,4,2024,29.4,31.68,67.65833333333333,0.09933333333333333
